Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Are you observing a Teaching Fellow or a Partner Teacher?,Which cohort is this Fellow a member of?,Which cohort is this Partner Teacher a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 5 Partner Teacher ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
15,3/1/2017 11:35,3/1/2017 11:44,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488386083_58b6f8239abaa7.89353539,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",,66.87.148.105,-81.78970337,28.50499916,United States,Clermont,FL,34711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3/1/2017 11:39,3/1/2017 11:40,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488386300_58b6f8fc0a87c2.55826448,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1888,Teaching Fellow,Cohort 27,,50807,,x251,,,,,,,,,,9,,,,CTT/ICT,,,,,Special Education,3/1/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
17,3/1/2017 12:25,3/1/2017 12:32,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488389131_58b7040beafa66.10996108,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Teaching Fellow,Cohort 27,,50885,,X290,,,,,,,,,,,10,,,CTT/ICT,,,,,Math,2/13/2017,Highly Effective,Highly Effective,Highly Effective,outstanding,Highly Effective,Highly Effective,Highly Effective,outstanding,Effective+,Effective+,Highly Effective,outstanding,Effective+,outstanding,Top 10%,
18,3/1/2017 12:33,3/1/2017 12:38,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488389583_58b705cfc9c184.03893236,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Partner Teacher,,Cohort 5,,TCR218,X355,,,,,,,,,8,,,,,,,,,,English,2/14/2017,Effective,Developing+,Developing+,willing to learn,Effective+,Effective,Effective,growing in this area,Developing+,Effective,Developing+,eager to grow,Effective,takes time to reflect,Average,
19,3/1/2017 12:39,3/1/2017 12:43,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488389935_58b7072ff1a3b5.61394332,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Partner Teacher,,Cohort 5,,TCR200,X384,,,,,,,,,8,,,,,,,,,,Social Studies,2/16/2017,Effective,Developing,Developing,struggles,Developing+,Developing+,Developing,struggles but growing,Developing+,Effective,Developing,struggles,Developing+,beginning to reflect on her work,Below Average,
20,3/1/2017 12:43,3/1/2017 12:44,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488390228_58b708546ac3c4.68624890,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Teaching Fellow,Cohort 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3/1/2017 12:44,3/1/2017 12:50,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488390259_58b7087397f8d0.92641783,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Teaching Fellow,Cohort 27,,50578,,X265,,,,,,,,,,,,11,,CTT/ICT,,,,,Special Education,2/15/2017,Effective,Effective,Effective,good understandings,Highly Effective,Highly Effective,Highly Effective,outstanding,Effective,Highly Effective,Effective,effective skills,Effective,will eventually be highly effective,Above Average,
22,3/1/2017 12:50,3/1/2017 12:50,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488390609_58b709d15d42f4.79288584,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Teaching Fellow,Cohort 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3/1/2017 12:51,3/1/2017 12:51,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488390686_58b70a1ed9a5e5.18081625,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Partner Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3/1/2017 12:52,3/1/2017 12:57,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488390749_58b70a5d38d665.25568558,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Partner Teacher,,Cohort 5,,TCR191,X231,,,,,,,,7,,,,,,,,,,,Math,2/27/2017,Effective,Effective+,Highly Effective,will continue to grow,Effective,Effective,Developing+,will continue to grow with experience,Effective,Effective,Effective+,will grow with experience,Effective+,show great interest in learning,Above Average,
25,3/1/2017 12:54,3/1/2017 12:54,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488390865_58b70ad11d34f2.44208917,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",,108.6.35.48,-73.64459991,40.59000015,United States,Long Beach,NY,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3/1/2017 12:57,3/1/2017 13:03,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488391044_58b70b84423491.69506593,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,1686,Teaching Fellow,Cohort 27,,51179,,X692,,,,,,,,,,,10,11,,,,,,,Math,2/28/2017,Highly Effective,Developing+,Developing+,is well able to show growth,Effective,Effective+,Highly Effective,relates to students,Developing+,Developing+,Developing+,needs a great deal of one on one,Effective,understands vert well what needs to be done,Below Average,
27,3/1/2017 14:53,3/1/2017 14:53,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488397994_58b726aab37707.07008110,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Ve","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",,107.77.223.144,-73.95120239,40.7804985,United States,New York,NY,10128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3/1/2017 15:05,3/1/2017 15:05,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488398702_58b7296e3c2225.06117149,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safar","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,173.2.47.224,-73.7161026,40.61460114,United States,Lawrence,NY,11559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3/1/2017 15:51,3/1/2017 16:00,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488401494_58b73456a190c2.95848260,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,108.30.188.229,-73.83450317,40.70050049,United States,Richmond Hill,NY,11418,1798,Teaching Fellow,Cohort 27,,50166,,M305,,,,,,,,,,,10,,,CTT/ICT,,,,,Math,2/8/2017,Developing+,Developing+,Developing+,Lina works hard to learn the content from two curricula and works well with her co-teachers to plan and deliver effective lessons.,Developing+,Developing+,Effective,Lina has established sound routines and works well with students in small groups as well as individually. Her class management is most effective and conginial.,Developing,Developing,Developing,These are more advanced skills and Lina has progressed in the use of essential questioning and formative assessment.,Developing,We have has several discussions on professional reflection and growth in the areas of student engagement and assessment.,Average,
30,3/1/2017 16:01,3/1/2017 16:08,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488402063_58b7368f7e2d00.70152003,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,108.30.188.229,-73.83450317,40.70050049,United States,Richmond Hill,NY,11418,1798,Teaching Fellow,Cohort 27,,50575,,M305,,,,,,,,,,,10,11,,CTT/ICT,,,,,Math,2/8/2017,Effective,Developing+,Developing+,Cody plans well for the diverse student population. He is clear and explanatory in his presentations and has a firm grasp on the subject content.,Developing+,Developing+,Developing+,His lessons move smoothly with routines well established. The culture for learning could be more rigorous but we are working on that aspect of hie professional development.,Developing+,Developing+,Developing+,His questioning skills are still a work in progress as we are trying to get students to think creatively and more independently. Formative assessment techniques are also still in progress.,Developing+,Cody is open to discussing his performance and improving his effectiveness. He works with his mentor and immediate supervisor in the areas of methodology and assessment.,Above Average,
