Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 28 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
15,2/21/2017 9:05,2/21/2017 9:14,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1487685943_58ac493748fe66.14172359,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,69.114.200.8,-73.96620178,40.62250137,United States,Brooklyn,NY,11230,2062,Cohort 27,51059,,K058,,,,,4,,,,,,,,,,,,,N/A,Bilingual,2/14/2017,Highly Effective,Highly Effective,Highly Effective,Teacher designed a dual language French lesson. Lesson is carried entirely in French language. All needed materials are available at student stations. Lesson has elements of interdisciplinary instruction.,Highly Effective,Highly Effective,Highly Effective,Students follow established routines. The lesson moves from the mat in the front of the room to group table clusters in the back of the room. Students are given specific instructions and everyone is assigned a task. Necessary materials are available.,Highly Effective,Highly Effective,Highly Effective,Students work on portable white boards in which they write answers and present them when participating. Group work is planned and targeted to address student learning styles.,Effective+,Teacher expressed that he was content with the outcomes of the lesson. He observed that most students were on task.,Top 10%,
16,2/27/2017 8:29,2/27/2017 8:31,Partial,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488202115_58b429839685c8.33298441,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",,70.214.65.114,-73.95829773,40.64490128,United States,Brooklyn,NY,11226,1782,Cohort 28,,51296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2/28/2017 17:42,2/28/2017 19:29,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488317477_58b5ec25e8bc69.41631445,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",,74.73.173.121,-73.88800049,40.69829941,United States,Ridgewood,NY,11385,1929,Cohort 27,50508,,09X218,,,2,,,,,,,,,,,,,,,,Bilingual,2/28/2017,Effective,Effective,Effective,Teacher's plans and practice reflect familiarity with a wide range of effective pedagogical approaches in the discipline.Most outcomes represent rigorous and important learning in the discipline.,Effective+,Effective+,Effective+,"Classroom interactions support learning and hard work.With minimal guidance and prompting, students follow established classroom routines.",Effective,Effective,Effective,"While the teacher may use some low-level questions, he or she poses questions to students designed to promote student thinking and understanding.The learning tasks and activities are aligned with the instructional outcomes and are designed to challenge student thinking,",Effective,Teacher makes a few specific suggestions of what could be tried another time the lesson is taught.,Average,
20,3/1/2017 7:58,3/1/2017 8:13,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488373126_58b6c586cd3fe8.51430960,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",,70.214.79.73,-73.94689941,40.71110153,United States,Brooklyn,NY,11211,1782,Cohort 28,,51271,K559,,,,,,,,,,9,,,,CTT/ICT,,,,,English,3/1/2017,Developing+,Developing+,Effective,Sam starts lessons engaging the students prior knowledge and understanding. He will worko,Developing+,Developing+,Developing+,Sam will work on identifying transitions in the class period to provide structure and clarity. Especially morning entry.,Effective,Effective,Developing+,Sam engages students in learning and has an open dimeanor with them. He will work on planning backwards fromide,Highly Effective,Sam is open and resilient in teaching and seeks feedback,Average,
21,3/1/2017 16:01,3/1/2017 16:03,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488402036_58b7367428a059.92620224,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,,67.247.34.92,-73.96530151,40.80059814,United States,New York,NY,10025,1802,Cohort 27,50481,,M291,,,,,,,6,,,,,,,,,,,N/A,Spanish,3/1/2017,Effective,Effective,Effective,,Effective,Effective,Developing+,,Effective,Developing+,Effective,,Effective,,Above Average,
22,3/2/2017 11:17,3/2/2017 11:22,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488471452_58b8459c0381e8.42941474,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,,67.247.34.92,-73.96530151,40.80059814,United States,New York,NY,10025,1802,Cohort 27,51037,,M859,,,,,,,,,,,10,,,,,,,N/A,Spanish,3/2/2017,Developing+,Developing+,Developing,,Developing+,Effective,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,
23,3/3/2017 9:21,3/3/2017 9:25,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488550886_58b97be6ef3281.13785955,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,173.129.186.119,-74.00779724,40.73300171,United States,New York,NY,10014,1942,Cohort 27,50196,,X080,,,,,,,,7,,,,,,,,,,,ESL,2/28/2017,Effective,Developing+,Developing+,,Effective,Effective,Effective,,Developing+,Developing+,Developing+,,Developing+,,Top 10%,
24,3/3/2017 13:09,3/3/2017 13:12,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488564546_58b9b142242184.84805420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,184.248.146.39,-73.8832016,40.75170135,United States,Jackson Heights,NY,11372,1942,Cohort 27,50196,,X080,,,,,,,6,,,,,,,,,,,,ESL,2/28/2017,Developing,Developing,Developing,,Developing+,Developing,Developing+,,Developing,Developing,Developing,,Developing,,Below Average,
25,3/3/2017 13:15,3/3/2017 13:19,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488564747_58b9b20b2e1b16.32628960,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,184.248.146.39,-73.8832016,40.75170135,United States,Jackson Heights,NY,11372,1942,Cohort 27,50338,,X080,,,,,,,6,,,,,,,,,,,,ESL,2/28/2017,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing,,Developing,Developing,Developing,,Developing,,Average,
27,3/4/2017 1:26,3/4/2017 1:42,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1488608786_58ba5e123d34c5.06717265,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,,100.2.219.170,-73.77249908,40.76369858,United States,Bayside,NY,11361,219,Cohort 27,51087,,X432,,,,,,,,,,9,10,,,,,,,,ESL,2/16/2017,Effective+,Developing+,Effective+,"•	The content and language objectives were written on the lesson plan and the content objective should be posted. The content objective seemed to be a long range goal. The content objective should detail what the students will know and be able to do at the conclusion of this lesson.  •	The lesson was standards-based. Also, Please write out the complete standards. CCSS.ELA-LITERACY.SL.9-10.1 CCSS.ELA-LITERACY.L.9-10.2 CCSS.ELA-LITERACY.L.9-10.4.A •	Students were assigned seats in table groups based on level and name of their pen pal.  The teacher posted the names of each student and the group they were in as the students entered. It would have been more efficient to have prepared the named of the students groups prior to the arrival of the students. During our debrief, the teacher stated that she did not have the time to do this. However, it was time consuming and the transition at the beginning of the period would have been smoother.  •	Teacher prepared a packet containing the 'Do Now', a reading, and tasks containing supports for the students. •	The 'Do Now' took 18 minutes which was too long. An effective 'Do Now' should last no more than 10 minutes. The teacher stated that it's not a big deal.  •	Teacher circulated, clarifying and assisting, as students worked.  •	Teacher elicited the meaning of various terms, pen pals and volunteers, as well as other words that came up in the reading.  •	The students will be writing letters to students in Indonesia. There was a missed opportunity to display a clear map showing Indonesia and the United States, /showing their relative locations. During our debrief, the teacher stated that she is sure they know where Indonesia is. However, we should be careful about assumptions. •	Teacher elicited the difference between formal/informal, volunteers and pen pals as they pertained to the lesson and task.  •	Teacher, modeled with class, a sample letter. Modeling is a powerful tool used by teachers that clarify expectations for the students.  •	References to a prior lesson were made. This was followed by the teacher modeling the second paragraph; questions students would like to a pen pal. Teacher referred to a prior lesson again on questioning; the use of 'what', 'where', 'when', 'why' and 'how'.  •	Teacher did a quick role-play with a student how to greet someone.  •	She explained about the agency that helps make the matches for student pen pals. Teacher explained that she will scan the letters and send them through the Internet.",Effective,Developing+,Effective+,"The classroom culture in one in which respect and caring is encouraged; teacher to student, student to teacher and student to student.  •	When teacher entered she posted the group members names on the board.  Preparing the names on chart paper prior to the class would have been more efficient as time would have been saved. •	Behavior was appropriate and teacher response to inappropriate behavior was consistent and respectful.",Effective,Developing+,Effective,"•	While the teacher used some low-level questions, he or she posed questions to students designed to promote student thinking and understanding. However, the teacher should encourage students to respond to each other by asking students; who 'agree',' disagrees or 'has something to add' and having the students explain their thinking. •	The tasks were important to learn, but were not aligned with the Learning Objectives. Students did not introduce themselves to their new pen pal in writing.  they did not read about their new pen pals, they did not write 3-5 complete sentences describing themselves to a stranger,  they did not write 3-5 complete sentences describing themselves to a stranger in order to get to know one another. These were objectives for future lessons. It is important to make sure that the tasks/activities are reflective of the Learning Objectives. •	Student answers to questions throughout the period. •	Teacher closed by asking 3 students who didn't talk during the lesson why they feel they are doing this project. What do they feel they will learn from this unit. •	It is also a good idea to have something in writing to memorialize how students were assessed.",Developing+,"•	Teacher has a generally accurate impression of a lesson's effectiveness and the extent to which instructional outcomes were met. However, there was much push back when recommendations were made.",Above Average,
