response_id,date_submitted,status,please_select_your_field_consultant_id,which_cohort_is_this_fellow_a_member_of,fellow_id,please_enter_the_school_dbn_as_a_letter_and_3_digit_number_e_g_x232_or_k021,k_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x1_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x2_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x3_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x4_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x5_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x6_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x7_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x8_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x9_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x10_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x11_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x12_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,ctt_ict_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,self_contained_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,setts_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,d75_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,n_a_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,what_is_the_fellow_s_assigned_university_subject_area_please_select_the_subject_they_are_training_in_at_their_university_not_the_subject_they_are_teaching_during_this_observation,what_was_the_date_of_this_observation,x1a_please_record_your_observation_rating_for_component_1a_demonstrating_knowledge_of_content_and_pedagogy,x1c_please_record_your_observation_rating_for_component_1c_setting_instructional_outcomes,x1e_please_record_your_observation_rating_for_component_1e_designing_coherent_instruction,comments_for_domain_1,x2b_please_record_your_observation_rating_for_component_2b_establishing_a_culture_for_learning,x2c_please_record_your_observation_rating_for_component_2c_managing_classroom_procedures,x2d_please_record_your_observation_rating_for_component_2d_managing_student_behavior,comments_for_domain_2,x3b_please_record_your_observation_rating_for_component_3b_using_questioning_and_discussion_techniques,x3c_please_record_your_observation_rating_for_component_3c_engaging_students_in_learning,x3d_please_record_your_observation_rating_for_component_3d_using_assessment_in_instruction,comments_for_domain_3,x4a_please_record_your_observation_rating_for_component_4a_reflecting_on_teaching,comments_for_domain_4,how_effective_do_you_believe_this_fellow_is_compared_to_other_teachers_with_similar_experience_eg_first_year_fellows_compared_to_other_first_year_teachers,university,school_code,tt2id
171,3/16/2017 18:10,Complete,2023,Cohort 28,51311,K671,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/14/2017,Effective,Effective,Effective,"Ms. Eustache's prepared lesson displays her knowledge on the topic of geometry in reflecting shapes on a coordinate plane. The content was related to previous concepts, as supported by a lesson plan. Before beginning instruction, the teacher read the above expected outcome. Next, students were asked to engage in an activity that was logical to advancing their learning on the topic. This was a standards based lesson: •	CCSS.Math.Content.6NS.C.6.B Understand signs of numbers in ordered pairs as indicationg locations in quadrants of the coordinate plane; recognizing that when two ordered pairs differ only by signs, the locations of the points are related by reflections across oone or both axes.  •	CCSS.Math.Content.6.NS.C.8 Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordnates and absolute value to find distances between points with the same first coordinate or the same second coordinate.",Effective,Effective,Effective,"Students were provided graph paper for their task and relevant content vocabulary preceded the Mini Lesson. A Teacher-Made chart of 5-steps was displayed to assist students with how to accomplish the objective, and compliments were offered when students were successful or attempted to reflect points, ""Let's clap it up!"" Ms. Eustache was also prepared with worksheets and the transition to instructional groups did not disrupt the tone in the class.  When necessary, the teacher used positive reinforcement to remind students of expected behavior.",Developing+,Effective,Developing+,"While the quality of questions in the lesson plan and those posed during instruction were predominantly low-level, Ms. Eustache acknowledges the need to elevate her questions. Following are examples to consider: 1. Instead of asking, ""Are some of the sides the same?"" Pose, ""Explain to the class how the sides are the same or different."" 2. ""Describe the changes that occur when you reflect coordinates over the x-axis."" These same examples can generate discussion amongst group members.  Prepared activities were differentiated, aligned to the objective, and required students to revisit the content. However, the pacing did not allow for closure.",Effective+,"Ms. Eustache's reflection on her practice was accurately stated for the areas of need. She realized that some students required additional support and that the prepared practice worksheets were too advanced for a number of students. Teacher's comments about next steps:  •	Increase help for those in need •	Differentiate worksheets •	Be cognizant of time •	Assess student learning",Above Average,BC,23K671,d5b35041-cf96-41f7-b6cf-a5b400dcadb0
179,3/16/2017 21:03,Complete,2032,Cohort 28,51297,k654,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,SETTS,NA,NA,Special Education,3/8/2017,Effective+,Effective,Effective+,Well planned lesson making use of student IEP information,Effective+,Effective+,Highly Effective,Students are eager to work with the teacher in the SETSS setting. There is little need for refocusing to work tasks.,Effective+,Effective+,Effective,Assessment is ongoing. Data is used to plan for the next lesson.,Effective,The teacher can discuss student success as they work. She wants them to carry their small group work to the classroom.,Above Average,BC,19K654,2941cca5-3525-4e24-825a-a567014c7931
188,3/17/2017 13:25,Complete,2030,Cohort 28,51333,54K,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Special Education,03/01/0017,Developing,Developing,Effective,NA,Effective,Developing+,Developing+,NA,Developing+,Effective,Effective,NA,Effective+,NA,Above Average,BC,13K054,cdc2a1c6-d44c-4744-a615-a5a600c7e7da
189,3/17/2017 13:32,Complete,2032,Cohort 28,51305,q132,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/17/2017,Effective,Effective,Effective+,Lesson follows curriculum and includes differentiaiton related to ongoing data collection,Developing+,Effective,Effective+,Systems are in place to address specific needs. Class systems are in effective for all students.,Effective,Effective,Effective+,Basic concepts need tobe reinforced throughout the lesson. Goals and desired outcomes are clear to all students. Prompts are offered as needed.,Effective,Theteacher was able to discuss student oucomes. He will reinforce baisc parts of the lesson during the next lesson.,Above Average,BC,29Q132,b2a803a2-f94c-447a-855d-a5b300e4ae37
191,3/17/2017 13:37,Complete,2030,Cohort 28,51319,319Q,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Math,03/03/0017,Developing,Developing,Developing+,NA,Effective,Developing+,Developing+,NA,Developing+,Effective,Effective,NA,Effective+,NA,Above Average,BC,27Q319,711e5c39-3de5-4cbc-a50b-a5c001040fbe
192,3/17/2017 13:52,Complete,2021,Cohort 28,51303,M208,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,3/17/2017,Developing+,Developing+,Developing+,teacher is working closely with the AP and designming instruction to meet student needs.  the lesson was grade appropriate.,Developing+,Developing+,Developing+,Routines are being established.  Behavior issues are handled by the teacher and paraprofessional. The accomodations were made to enable all students to access the material.,Developing,Developing,Developing,The teacher is working on developing questions that require more than yes no responses.  Students had the opportunity to discuss answers.  The teacher is working on including formative assessments in the lesson..,Effective,Eager to discuss and apply strategies..,Above Average,BC,03M208,c2cd45c9-a6e5-4232-8a29-a33a000b9253
13,2/11/2017 18:58,Complete,1859,Cohort 28,51203,Q752,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,NA,NA,D75,NA,Special Education - D75,2/7/2017,Developing+,Effective,Effective,Kamara's lesson was well developed and delivered.  Kamara had good knowledge of what she was teaching and what she was expecting from her students.  She needed to be able to incorporate some of the students'questions into the class discussion.  She missed a few opportunities for 'teachable moments'.,Effective+,Effective+,Effective+,"It is apparent that Kamara has established routines in the classroom, as students knew what to do when entering her room.  She has established a very warm learning environment that is safe and caring.  Her lesson was engaging and thus there were no behavior problems.",Developing+,Developing+,Effective,"Kamara involved her students in the lesson, by asking them to read to each other aloud and by offering questions for discussion.  Students were engaged throughout the lesson.  She needs to look for and use 'teachable moments' and not solely follow a script. Kamara did questioning students throughout the lesson, checking for understanding.  Students were also given exit tickets to be sure they understood what was taught and were given appropriate homework.",Effective,Kamara reflected on the lesson and felt it went well.  She also discussed with me that the atmosphere took time to create.  I acknowledged the fact that a good learning environment had been created.,Average,Pace,97Q752,c65d775c-708d-4114-994a-a613004202e7
36,2/14/2017 17:27,Complete,1859,Cohort 28,51216,q752,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,NA,NA,D75,NA,Special Education - D75,2/7/2017,Developing+,Effective,Developing+,"Marcella did a great job of showing the knowledge she had of the topic.  She was teaching students how to read a political cartoon.She was using it as a segue to her full lesson.  In addition to the cartoon she used a video that she played, stopped and discussed checking for understanding. She has an excellent rapport with her students and her classroom is print rich.  She has a word wall and reference material all over the room, as well as student work displayed.",Effective,Effective,Effective,"Marcella does this all well.  Procedures are followed, students are engaged and there are no behavior problems. All of her materials were ready for her students.  She started class on time, and as students came in they took their seats and began their work.",Effective,Effective,Effective,"Marcella asked all the right critcial thinking questions to obtain the answers from her students.  As difficult as it was to decipher the cartoon, her questions elicited the correct responses.  The cartoon was relevant to both today's society as well as connected to the lesson she was going to teach.  The students had a sheet to follow during the video.  Marcella stopped the video each time making sure students were following the content and doing the work. She uses an exit ticket to further assess where her students are at.",Effective,Marcella has no problem reflecting on her teaching.  She felt this lesson went well and teaches which ever students are in her classroom.,Average,Pace,97Q752,101eaea2-cd7f-4620-85c1-a59400aec540
37,2/14/2017 23:02,Complete,1859,Cohort 28,51200,q752,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,NA,NA,D75,NA,Special Education - D75,2/7/2017,Developing+,Effective,Effective,Shatiqua knows her content and is confident in the way she teaches it.She definitely had outcomes in her lesson and worked towards them as she taught.  The lesson went smoothly as far as how it was organized and presented.,Developing+,Developing+,Developing+,"Shatiqua tried very hard to set up a safe, caring environment which she did for the most part.  When students were not engaged, she tended to yell at the class.  She did have difficulty with one particular student, and the school is working on his behavior.",Effective+,Developing+,Developing+,"Shatiqua asked very good critical thinking questions and her assignments were too. However, because of the behaviors being exhibited, it was difficult to totally engage students.  However, when students were assigned to groups, 4 of them worked well and the noise level decreased.  Shatiqua still needed to work on controlling the behavior of the young man in her room.  Most of Shatiqua's assessment was from her questions and from checking in with students in their groups.",Effective,"Shatiqua felt this lesson went better than some of her others.  She agreed that she needed to work on her own frustrations with the behaviors exhibited by some, in particular the young man.",Average,Pace,97Q752,a76281cb-e779-47ed-a01c-a5ec011039c3
45,2/16/2017 18:00,Complete,1859,Cohort 28,51215,m751,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,NA,NA,D75,NA,Special Education - D75,2/15/2017,Developing+,Developing,Developing+,"Alana planned her lesson well and taught it, but with little student engagement.  She had outcomes set, and her lesson did have a beginning, middle and end, but needed a stronger delivery.",Developing+,Developing,Developing,"Alana was just assigned this room and is in the process of setting it up, including technology.  She has a good relationship with her students, but needs to develop it further.  She needs to be a little less anxious around them.  While there were no behavior incidents, some students remained unengaged and refused to participate in the lesson.  Some students did come in, take their folders and did what they were told, others just didn't participate.",Developing,Developing,Developing,"Alana did ask her students questions, but many did not require critical thinking.  Most students did not answer the questions.  She did ask students to graph their emotion when they came in, which helped assess their attitudes.  Those that did answer questions allowed Alana to assess their grasp of what she was trying to teach. Alana needs to work on motivating her students more.",Developing+,"Alana is reflective of her teaching, and is overly hard on herself.  She looks at the negatives, instead of looking at what she did accomplish, first.  She is aware that she is not engaging her students and will try everything to increase it.",Average,Pace,97M751,ed850b49-34b8-45ce-84e7-a5d200939dd3
65,2/23/2017 9:28,Complete,2069,Cohort 28,51204,X176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,Self-contained,NA,D75,NA,Special Education - D75,2/13/2017,Developing,Developing,Developing,NA,Developing+,Developing,Developing+,NA,Developing+,Developing+,Developing,NA,Developing+,NA,Average,Pace,97X176,0a9a10d6-9e2f-4f81-837b-a3be0129b851
66,2/23/2017 9:34,Complete,2069,Cohort 28,51229,X176,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,Self-contained,NA,D75,NA,Special Education - D75,2/15/2017,Developing,Developing,Developing,NA,Developing+,Developing,Developing+,NA,Developing,Developing,Developing,NA,Developing+,NA,Average,Pace,97X176,54c65908-e748-4a0e-8370-a65200f5b9c0
67,2/23/2017 9:41,Complete,2069,Cohort 28,51217,X176,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,Self-contained,NA,D75,NA,Special Education - D75,2/13/2017,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,NA,Average,Pace,97X176,dabc9d29-cfb3-4c0c-9bd5-a5b700f8a438
74,2/27/2017 18:25,Complete,1776,Cohort 28,51211,97K369,NA,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/6/2017,Developing+,Developing+,Developing+,She has captured the interest of the children.,Developing+,Developing+,Developing+,She has established a culture for learning and the children are responding in a positive manner to her.,Developing+,Developing+,Developing+,She is working on time management.,Developing+,she has the ability to improve with additional experience.,Average,Pace,97K369,a024d0f9-7583-4f04-892b-a60e011ff6ba
95,3/5/2017 12:38,Complete,913,Cohort 28,51209,96Q@752,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,NA,NA,D75,NA,English,2/28/2017,Developing,Developing,Developing+,Learning activities need to be designed to  engage students.ds,Developing,Developing,Developing,Class routines and acceptable conduct need to be discussed.  Students need to conduct themselves in a respectful way.,Developing,Developing,Developing,Students need to participate in activity.  Monitor and prompt students.,Developing,Reach out to parents and develop lines fo communication.,Average,Pace,97Q752,d71b7a00-55ac-4d49-ad15-a5f7013adfa4
109,3/6/2017 14:35,Complete,2069,Cohort 28,51214,X176,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,D75,NA,Special Education - D75,3/6/2017,Developing,Developing,Developing,NA,Developing,Developing,Ineffective,NA,Developing,Developing,Developing,NA,Developing,NA,Average,Pace,97X176,2a4ef03a-3a1c-44c2-b0b2-a5ca0184d38e
