Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
17,2/10/2017 19:15,2/10/2017 19:28,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486772082_589e5772aae003.59618573,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,173.3.50.246,-73.93969727,40.60089874,United States,Brooklyn,NY,11229,1808,Cohort 27,50977,K543,,,,,,,,,,,10,11,,,,,,N/A,Special Education,2/10/2017,Effective,Effective,Effective,The Teaching Fellow had a significant knowledge of the discipline. He used multiple instructional strategies that had impact. He engaged his students. He offered feedback when needed.,Highly Effective,Effective+,Highly Effective,The Teaching Fellow's class was extremely well behaved and respectful. Classroom procedures ran smoothly with no loss of instructional time,Effective,Highly Effective,Effective,The Fellow assessed throughout the lesson both verbally and in writing. His questions were both convergent and divergent. The lesson involved students performing skits about the Parts of Speech. The skits went well and the kids learned.,Effective,The Fellow's priority is his students' academic ans social well being.,Above Average,
21,2/10/2017 20:53,2/10/2017 21:02,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486777998_589e6e8e819c45.72980555,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,173.3.50.246,-73.93969727,40.60089874,United States,Brooklyn,NY,11229,1808,Cohort 27,50943,K525,,,,,,,,,,9,10,,,CTT/ICT,,,,,Special Education,2/8/2017,Highly Effective,Effective+,Effective+,"The Teaching Fellow's knowledge of the discipline was noteworthy. Her students were fully engaged in the lesson, and the Fellow made connections to the Real World and to her students' lives. The learning activities and teaching strategies were effective. Differentiated instruction was evident.",Effective+,Effective,Effective,"The Fellow's students behave appropriately, classroom procedures and grouping went smoothly with no loss of instructional time.",Effective,Effective+,Effective,"The Fellow assessed both verbally and in writing, and she asked both divergent and convergent questions. Visuals were evident during instruction.",Effective+,This Fellow always has the best interests of her students as a priority.,Above Average,
22,2/10/2017 21:17,2/10/2017 21:26,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486779419_589e741b7b02a9.67442377,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,173.3.50.246,-73.93969727,40.60089874,United States,Brooklyn,NY,11229,1808,Cohort 27,50339,K525,,,,,,,,,,9,10,,,CTT/ICT,,,,,Special Education,2/8/2017,Effective+,Effective+,Effective+,"Except for an ugly behavior incident, this was an effective lesson. The Teaching Fellow displayed a strong understanding of the subject matter. The lesson was well paced. The learning activities were effective, and the teaching strategies addressed the needs of challenged students",Effective,Effective,Developing+,"Once again, the behavior incident almost led to classroom chaos. However, I gave her strategies to use  in the future that will address certain innapropriate behavior.",Effective,Effective,Effective,"The Fellow assessed throughout the lesson. She asked thought provoking questions, but she gave her students sufficient response time. The Fellow made the connections to the real world and to the relevance in her students' lives.",Effective,"She will approach incidents differently in the future. Otherwise, this teaching Fellow is a fine young pedagogue.",Average,
23,2/10/2017 21:32,2/10/2017 21:40,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486780346_589e77ba93cd05.22220924,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,173.3.50.246,-73.93969727,40.60089874,United States,Brooklyn,NY,11229,1808,Cohort 27,50766,K525,,,,,,,,,,,10,,,,,,,N/A,Special Education,2/8/2017,Effective,Effective,Effective,"This was an effective English lesson taught to a very chalenging group of students. The Teaching Fellow used visuals and two short film clips to help differentiate instruction. Although his students' skill levels were low, they were engaged in this lesson. The Fellow circulated the room offereing feedback and assistance. He tried his best to present questions that would provoke critical thinking. Also, this was a well behaved class.",Effective,Effective,Effective,"The Fellow used some strategies that were effective, but he must plan a liitle better for this group.",Effective,Effective,Effective,"The Fellow did assess, but progress was slow.",Effective,This is a solid young teacher who wants to improve his craft so that his students will benefit.,Average,
24,2/10/2017 21:50,2/10/2017 21:58,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486781447_589e7c07c643e8.60892262,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,173.3.50.246,-73.93969727,40.60089874,United States,Brooklyn,NY,11229,1808,Cohort 27,50410,K559,,,,,,,,,,,,,12,,,,,N/A,Special Education,2/7/2017,Highly Effective,Effective,Effective,"Even though the Teaching Fellow's knowledge of the subject matter was noteworthy, some students in her class were not engaged in learning. They were texting or sleeping during instruction. I meant the learning activities were fine and so was the pacing. However, innapropriate behaviors cannot exist in a classroom.",Developing+,Effective,Developing+,I addressed this. The Teaching Fellow will start parental outreach to rectify the problems.,Effective,Developing+,Effective,"Once again, the Fellow's significant knowledge of the discipline and her passion for this lesson should have engaged all students, but it did not.",Effective,The Fellows works very hard to improve and she will. She will take my advice.,Below Average,
25,2/10/2017 22:07,2/10/2017 22:14,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486782455_589e7ff72a6bf0.64179290,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,173.3.50.246,-73.93969727,40.60089874,United States,Brooklyn,NY,11229,1808,Cohort 27,50149,K529,,,,,,,,,,,10,11,12,,,,,N/A,Special Education,2/6/2017,Developing+,Developing+,Effective,"Most of this Teaching Fellow's problems stem from his lack of knowledge in the discipline. Because of this he lacks passion when he teaches, so his students are not engaged in learning. However, I put together a plan for his improvement, and I believe he will progress.",Developing+,Effective,Effective,"When students are not engaged, behavior can be an issue and it was.",Developing+,Developing+,Developing+,. The questioning was not thought provoking just one word answers.,Developing+,"I know that this Teaching Fellow has potential, but he must apply himself.",Below Average,
26,2/10/2017 22:19,2/10/2017 22:30,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486783179_589e82cb5561c4.59837781,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,173.3.50.246,-73.93969727,40.60089874,United States,Brooklyn,NY,11229,1808,Cohort 27,50470,K303,,,,,,,6,,,,,,,CTT/ICT,,,,,Special Education,2/2/2017,Highly Effective,Highly Effective,Highly Effective,This is highly effective young Teaching Fellow. Everytime I observe her she performs at a high level. Her knowledge of the discipline is noteworthy. She demonstrates great passion for what she teaches. She engages her students by connecting the material taught with her students' lives and the real world. She cres very much about her students academic and social/emotional needs.,Highly Effective,Effective,Highly Effective,"She used a video, post its, and visuals to help differentiate instruction. The Math this Fellow taught was rigourous and challenging, but she has high expectations for her students. She constantly assesses them, but will not advance until all understand the concepts.",Effective,Highly Effective,Effective,She has a fully engaged class. The Fellow calls on reluctant students not just volunteers.,Effective+,"This Teaching Fellow is new, but she is a professional now. She cares about her student family.",Top 10%,
27,2/11/2017 15:02,2/11/2017 15:06,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486843369_589f6de9e85892.93300114,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,,108.5.163.46,-74.39689636,40.5182991,United States,Edison,NJ,8817,622,Cohort 27,50809,M860,,,,,,,,7,,,,,,CTT/ICT,,,,,Special Education,1/11/2016,Effective,Effective,Effective,,Effective,Effective,Effective,,Developing+,Effective,Effective,,Developing+,,Average,
28,2/11/2017 15:07,2/11/2017 15:10,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486843603_589f6ed316f306.61372878,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,,108.5.163.46,-74.39689636,40.5182991,United States,Edison,NJ,8817,622,Cohort 27,50837,M143,,,,,,,,7,8,,,,,,Self-contained,,,,Special Education,1/13/2017,N/A,N/A,N/A,This class focused on independent work on a computer program. there was no formal lesson plan. Students were set up to work and teacher circulated.,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,,Average,
29,2/12/2017 14:20,2/12/2017 14:22,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486927218_58a0b5727774e4.46800151,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,,108.5.162.212,-74.8219986,40.8669014,United States,Hackettstown,NJ,7840,622,Cohort 27,50505,M514,,,,,,,6,7,,,,,,,Self-contained,,,,Special Education,1/23/2017,Effective,Effective,Developing+,,Effective,Effective,Effective,,Developing+,Effective,Effective,,Developing+,,Above Average,
30,2/12/2017 14:23,2/12/2017 14:32,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486927386_58a0b61a514382.80369082,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,,108.5.162.212,-74.8219986,40.8669014,United States,Hackettstown,NJ,7840,622,Cohort 27,50387,M402,,,,,,,,,,,,11,12,CTT/ICT,,,,,Special Education,1/19/2017,Developing+,Developing,Developing,There was no lesson plan for today. Entire period was devoted to students doing independent work toward completing a project. Fellow did not make any plans for assisting students who were struggling to complete assignment.,Developing+,Developing+,Developing+,,Developing,Developing,Developing,,Developing,Fellow seemed to place all responsibility for learning on students. was not able to clearly articulate her role in facilitating the research and writing due today.,Average,
31,2/12/2017 14:33,2/12/2017 14:38,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486927993_58a0b8796fba48.98749560,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,,108.5.162.212,-74.8219986,40.8669014,United States,Hackettstown,NJ,7840,622,Cohort 27,50672,M307,,,,,,,,,,,10,,,CTT/ICT,,,,,Special Education,1/17/2017,Effective,Effective,Effective,,Developing+,Developing+,Developing+,,Developing+,Effective,Developing,,Developing+,,Above Average,
32,2/12/2017 14:38,2/12/2017 14:41,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1486928305_58a0b9b1131343.47769256,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,,108.5.162.212,-74.8219986,40.8669014,United States,Hackettstown,NJ,7840,622,Cohort 27,50809,M860,,,,,,,,7,,,,,,CTT/ICT,,,,,Special Education,2/8/2017,Effective,Developing+,Effective,,Effective,Developing+,Developing+,"Several students present challenges in terms of behavior. Fellow using a rewards system however too much time spent in monitoring system,",Developing+,Effective,Effective,,Developing+,,Average,
33,2/13/2017 16:16,2/13/2017 16:19,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1487020592_58a2223085a375.26309894,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/537.86.7",,96.246.219.121,-73.95120239,40.7804985,United States,New York,NY,10128,1831,Cohort 27,50610,X101,,,,,,,,7,8,,,,,,Self-contained,,,,Special Education,01/31/0017,Effective,Developing+,Developing+,,Effective,Effective,Effective,,Effective,Effective,Developing+,,Effective,,Above Average,
34,2/13/2017 16:20,2/13/2017 16:22,Complete,,,,English,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,https://www.surveygizmo.com/s3/3264930/FDI-2016-17-LIU-R3,1487020838_58a22326bab374.47736733,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/537.86.7",,96.246.219.121,-73.95120239,40.7804985,United States,New York,NY,10128,1831,Cohort 27,50492,X101,,,,,,,,,8,,,,,CTT/ICT,,,,,Special Education,02/13/0017,Effective,Effective,Developing+,,Effective,Effective,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,
