uni,FC_ID,Cohort,C27id,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom1_comments,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom2_comments,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom3_comments,oct_dom4a,oct_dom4_comments,oct_rel_effect,dom1_avg,dom2_avg,dom3_avg,dom4_avg,FDIoct_overall,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1908,Cohort 27,50014,M423,11,,ESL,26-Sep-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1822,Cohort 27,50015,Q328,9,N/A,ESL,14-Oct-16,Developing,Developing,Developing,Teacher is familiar with the important concepts in the discipline.Most of the outcomes are suitable for most of the students in the class based on global assessments of student learning. The lesson or unit has a recognizable structure.,Developing+,Developing+,Developing+,"The classroom culture is characterized by some commitment to learning by teacher or students. With regular guidance and prompting, students follow established routines.There is consistent implementation of the standards of conduct.",Developing,Developing,Developing,"Teacher attempts to engage all students in the discussion and to encourage them to respond to one another.The pacing of the lesson may not provide students the time needed to be intellectually engaged. Feedback to students is general, and students appear to be only partially aware of the assessment criteria used to evaluate their work.",Developing, Teacher makes general suggestions about how a lesson could be improved.,Average,2,3,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1803,Cohort 27,50016,X447,7,,Special Education,19-Oct-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing+,,Below Average,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2035,Cohort 27,50017,Q080,4,Self-contained,Special Education,28-Sep-16,Developing+,Effective,Developing+,"The fellow presented a lesson reflecting reading comprehension. She utilized different instructional tools (Smart Board, document camera, tactile manipulatives) to engage the students and differentiate instruction. The students demonstrated a learned procedure for answering comprehension questions and commenting on the ideas of others. The fellow listed the expectations for the corresponding writing activity and referred to previous student work products for reference. The fellow was able to complete the mini-lesson and writing period within the parameters of the lesson plan. Transitions from one section of the lesson to the next was seamless. ",Effective,Developing+,Developing+,"The students were engaged by the material presented on the Smart Board. The fellow assessed their prior knowledge in order to guide the comprehension questions and discussion. Students were respectful of one another and each had the opportunity to share their thoughts. Compliance during the mini-lesson was strong. The fellow had tested the technology prior to the start of the lesson, which is an ideal routine/practice. Students exhibited frustration during the writing activity. The fellow is aware of the challenges writing assignments present in terms of actual handwriting and forming ideas. She attempted to address the frustration by allowing students to write open-ended responses and listing the expectation of only a couple of sentences.",Effective,Effective,Developing+,"The fellow guided the students through a discussion of ""right and wrong"" in connection with a read aloud. She prompted students to reference the story elements in order to support their answers. The fellow provided prompts and modeling as each student was given an opportunity to make a text-to-self or text-to-world-connection. A written task was selected in order to assess the comprehension of the students. Writing has been a challenge for these students, perhaps, a multiple choice or fill-in activity was best suited for this lesson. The goal was to assess student understanding of the characters' choices. The writing task and the stamina necessary to complete it may effect the measurement of comprehension.",Developing,"The fellow is in the process of understanding modeling, active engagement, and assessment. She is eager to improve in these areas by experimenting with different types of strategies e.g. timer or peer tutoring. Her lesson plans are well-developed, but she needs time to learn the academic/social challenges of the students. The fellow has reflected on this particular lesson and has already made modifications for future lessons.",Above Average,3.333333,3.333333,3.666667,2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2006,Cohort 27,50018,M529,9,CTT/ICT,Science,22-Sep-16,Effective,Developing+,Effective,,Effective,Effective,Effective,,Effective,Effective,Developing+,,Developing+,,Top 10%,3.666667,4,3.666667,3,3.833333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1714,Cohort 27,50019,m161,7,CTT/ICT,Special Education,7-Oct-16,Developing+,Developing+,Developing+,,Effective,Effective+,Effective+,,Developing+,Developing+,Developing+,,Developing+,,Average,3,4.666667,3,3,3.833333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1949,Cohort 27,50020,30Q28,6,,Math,26-Sep-16,Effective,Developing+,Effective,Alfina displayed a solid knowledge of the important concepts of the discipline. Her plan and practice indicate good knowledge of pedagogical approaches.,Developing+,Effective,Effective,Alfina has established effective management practices that safeguard instructional time. Students were consistently respectful.,Developing+,Developing+,Developing+,More work needs to be done to differentiate. Additional strategies need to be used to collect formative assessment data.,Developing+,Alfina was able to pinpoint areas of improvement (differentiation and assessment). She is eager to improve her practiced and welcomed suggestions.,Above Average,3.666667,3.666667,3,3,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1918,Cohort 27,50022,M017,1,N/A,Bilingual,26-Sep-16,Developing+,Developing+,Developing+,"We spoke about how to use the rhythm of the lesson to engage the students.  Increasing a bit the flow of the lesson will challenge more of the students; fewer repetitions will alert the children that they need to pay attention from the beginning. The Hunter template should be consulted even if not used; in planning, focus on language objective.",Developing+,Developing+,Developing+,:,,"Yaslibel as a beginning teacher is working on developing her classroom management skills. As she gains experience in the classroom, uses engagement of the students through B64 academic challenges she will gain mastery of these skills",,,,,,,  ,,,,Developing+,Developing+,Developing+,"Yaslibel walks around the classroom, checking on students' work at every table.",,,,,,,  ,Effective,"Yaslibel has good energy, is caring and intelligent. As the semester progresses, classroom experience, her self-critiques and studies will lead her to become an excellent professional.",,,,,,  ,Average,3,3,3,4,3
Pace University,935,Cohort 27,50024,K97@K396,9,Self-contained,Special Education – D75,7-Oct-16,Developing+,Developing+,Developing,Candidate plans and practice reflected a moderate rand of pedagogical approaches.  Outcomes reflect some types of learning with coordination and integration,Developing+,Developing+,Developing+,There is a commitment to learning in this classroom.  The candidate knows the levels  of disability and has high expectations for all students  Students are aware of the standards of conduct,Developing,Developing+,Developing,Some of the questioning techniques lead some students through a single path of inquiry due to their disabilities  Sandi assessment is being administered,Developing,Candidate made an accurate assessment of instructional and intervention strategies.  She seeks knowledge and support from all  resources.,Average,2.666667,3,2.333333,2,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1128,Cohort 27,50025,K543,7,N/A,Math,30-Sep-16,Developing+,Developing,Developing+,"Kereece is using the Vygotsky method in procedural instruction.  Most learning activities and resources are suitable to learning outcomes, but differentiation strategies need to be clearly outlined on the lesson plan and in implementation. ",Developing+,Developing+,Developing+,Kereece is establishing clear classroom protocols. Classroom rules are posted for students' reference and students behavior appropriately with little prompting.   Kereece is developing a print-rich and esthetically inviting classroom.,Developing,Developing,Developing,"Kereece needs to develop and use more cognitively challenging questions, i.e., Depth of Knowledge stems.",Developing,"Kereece needs to assess student progress throughout the lesson. She should provide a medial summary to ascertain the level of student understanding. She is very receptive to recommendations, but she should also make a few specific suggestions of how this lesson could be improved.  ",Average,2.666667,3,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,907,Cohort 27,50026,Q752,10,D75,Special Education – D75,26-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing,Developing+,Developing+,,Developing+,,Above Average,3,3,2.666667,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1942,Cohort 27,50027,x080,8,Self-contained,Special Education,13-Oct-16,Developing,Developing,Developing,,Developing+,Developing,Developing+,,Developing+,Developing+,Developing+,,Developing,,Average,2,2.666667,3,2,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2064,Cohort 27,50028,m048,5,N/A,Bilingual,30-Sep-16,Developing+,Developing+,Developing,"The lesson on subject/pronouns was creative and designed to keep students engaged. There were multiple ""moving pieces"" of the lesson and the logistics ultimately distracted students from the instructional goal. Amy's ambition is good and execution will improve through reflection and revision over time. ",Developing+,Developing+,Developing+,"Amy has good rapport with the students and while they were squirrelly at the end of the week and had a hard time staying on task, they responded relatively well to re-direction. She can strengthen adherence to established procedures to reduce challenges to begin with and to minimize them when they do happen.",Developing+,Developing+,Developing+,Amy asked good and frequent questions and required evidence of their understanding. Formative assessment revealed that students did not have all the pieces they needed to develop the desired understanding. ,Developing+,Amy is very aware of her strengths and weaknesses and could accurately identify those places in the lesson that didn't match what she'd wanted.  ,Above Average,2.666667,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1983,Cohort 27,50029,Q230,7,N/A,Special Education,5-Oct-16,Effective,Developing,Developing+,,Effective,Effective,Effective+,,Developing+,Developing+,Developing,,Effective,,Average,3,4.333333,2.666667,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2006,Cohort 27,50030,X080,7,N/A,Science,21-Sep-16,Developing,Developing,Developing,,Effective,Developing+,Effective,,Developing,Developing+,Developing+,,Developing+,,Above Average,2,3.666667,2.666667,3,3.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,918,Cohort 27,50031,97M,3,Self-contained,Special Education – D75,30-Sep-16,Developing+,Developing+,Developing+,,Effective,Effective,Developing+,,Developing+,Developing+,Developing+,,Effective,,Above Average,3,3.666667,3,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1205,Cohort 27,50032,X267,9,CTT/ICT,Special Education,20-Sep-16,Developing+,Developing,Developing,This was a well designed lesson with a clear aim and an appropriate activity.  It will be important not to assume too much in terms of levels of understanding in this ICT math class.  Differentiated approaches will need to be developed and refined as the term gets underway.  ,Developing+,Developing,Developing,There was a positive tone to this lesson due to the focused approach of both teachers.  It will be important to reinforce positive routines and to develop stronger motivation strategies in order to continue engaging students at varied levels in this class.,Developing+,Developing,Developing,Good work was done in designing an interesting graphing activity for this lesson.  It would help to give a stronger introduction and to check to see that all are following directions early on.  The activity was well paced but it  will be important to keep checking the progress of students in need of more assistance.,Developing+,During our conference it was evident that this Teaching Fellow is very conscientious and eager to succeed.  She is very open to suggestions and has a positive attitude to her development as a first year teacher of special education in an ICT setting.  ,Average,2.333333,2.333333,2.333333,3,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1716,Cohort 27,50033,K383,7,CTT/ICT,Special Education,29-Sep-16,Developing,Developing+,Developing+,Ms. How is familiar with the concepts in the discipline and she plans with a knowledge that prerequisite relationships are important.  Learning outcomes represent some rigor and the learning activities represent a cognitive challenge for most students.  Se is developing the ability to structure lessons so that all students learning needs are addressed.,Developing+,Developing+,Developing+,There are clearly established standards of conduct which are followed by the students in Ms. How's class.  Ms.  how clearly respects the students and they return the respect.  Classroom culture is characterized by a commitment to learning.  Classroom interactions between the teacher and the students is excellent.  Very little instructional time is lost during the lesson.,Developing,Developing+,Developing,"Ms. How is developing the ability to engage students in high level questioning.  Students were encouraged, excited and engaged in learning throughout the entire class period.  Ms. How is working on using assessment and developing prompts and accountable talk during lessons.",Developing,Ms.   How is open and honest in terms of her impression of the lesson's effectiveness and her needs as a first year teacher.  She is open to recommendation and suggestion and is aware of the areas in which she needs to improve.,Above Average,2.666667,3,2.333333,2,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1820,Cohort 27,50035,Q226,7,Self-contained,Math,21-Sep-16,Ineffective,Developing,Developing,"Lesson was not focused on learning objective, too much emphasis on reteaching prerequisites for new material",Developing,Developing,Developing,"some routines in place, more structure needed",Developing,Ineffective,Developing,Work session was non-interactive with little or no assessment,Developing,There is a need for varied opportunities for student learning.There was no differentiation.,Average,1.666667,2,1.666667,2,1.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1909,Cohort 27,50036,x196,1,CTT/ICT,ESL,28-Sep-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,,Average,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1683,Cohort 27,50037,Q,11,Self-contained,ESL,6-Oct-16,Effective+,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Above Average,4.333333,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1853,Cohort 27,50039,K753,10,D75,Special Education,20-Oct-16,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1128,Cohort 27,50041,K419,10,CTT/ICT,English,19-Sep-16,Developing,Developing,Developing,Sheriff co-plans and works collaboratively with his mentor/co-teacher  to provide students with meaningful and challenging learning activities.  Appropriate differentiation strategies need to be explored in order to meet the specific needs of all students.,Developing,Developing,Developing,Students had to be reminded to sit in assigned seats causing minimal loss of instructional time.  Students behavior must be clearly outlined and non-negotiable.,Developing+,Developing,Developing,Sheriff is learning to use a variety of question types to assist his students in recalling facts and to challenge their cognitive thinking.  Students are being taught to develop text based questions using Depth of Knowledge question stems.  Sheriff is learning to use medial lesson summary questions as one example of formative assessment.,Developing+,"Sheriff sits with his mentor daily to re-evaluate the effectiveness of his lesson implementation and planning.  He is also working collaboratively with the IEP Coordinator and other colleagues to research and review ""Best Practices"". ",Average,2,2,2.333333,3,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1943,Cohort 27,50042,The Fairview School,5,N/A,Bilingual,7-Oct-16,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1810,Cohort 27,50045,M403,9,N/A,Science,17-Oct-16,Developing,Developing,Developing,This teacher is developing his approach to teaching his four living environment classes and one physics class.,Developing,Developing,Developing,"This teacher has attendance issues with his first period class which is not unusual. When he was asked by his principal to follow-up with parents, he decided not to do so at the designated time. We discussed the importance of connecting with both students and parents. I intend to follow-up with him on this.",Developing,Developing,Developing,"We discussed the assessment instrument he used in this observation, a multiple choice document. I will follow-up with him on this once he has reviewed his students' work.",Developing,This teacher brings experience interfacing with the public. I am eager to see what choices he makes in adjusting to the schooling institution. He is seeking his colleague's assistance which will no doubt contribute to the teacher he wants to become.,Above Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1809,Cohort 27,50046,x374,9,CTT/ICT,Science,29-Sep-16,Developing,Developing,Developing,There was no discernible differentiation or grouping.,Developing,Developing,Developing,Management at the beginning and end of the period needs to be a little tighter.,Developing,Developing,Developing,"Too much information is given, as opposed to elicited. During a ninety minute period, there should be some medial assessment.",Developing,"The TF was willing to be reflective of his practice, and knew what he was going to work on (notebooks).  He is working with a second yer teaching fellow and is following in her footsteps right now.  I would like to see him be reflective of her practice as well.",Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2005,Cohort 27,50048,K139,1,Self-contained,ESL,14-Oct-16,Developing+,Developing+,Developing+,,Developing+,,Developing+,,Developing+,Developing+,,,Developing+,,Average,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1785,Cohort 27,50049,M328,6,CTT/ICT,Special Education,17-Oct-16,Developing+,Developing,Developing,"Sharon was working with a group of 8 students,  supplementing their math lesson with worksheets and helping them to coordinate common multiples of 2, 4 and 10.  Her instruction was clear, as were her directions,  and she approached individual students with additional explanations of expectations.  Most students understood what to do the first time.  We spoke about timing of activities in order to cover more material in one period. For a beginning teacher, Sharon did nicely.",Developing+,Developing+,Developing+,"Sharon is with a strong cooperating teacher who has set the stage of this class with high expectations.  Students were on task and expected to produce results.  Sharon circulated amongst students who were distracted in order to engage them in the lesson. Her manner was quiet, warm and helpful to which students responded positively.",Developing,Developing,Developing,We discussed questioning as well as other activities in order to engage students at all times as well as group review in order to assess Sharon's lessons.,Developing,"At this point,  Sharon is still in the process of taking in all information and suggestions regarding her lessons.  During future meetings we shall place more emphasis on reflecting of her teaching and how to make her lessons more effective.",Above Average,2.333333,3,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2068,Cohort 27,50050,k231,3,D75,Special Education – D75,28-Sep-16,Developing,Developing,Developing,There is a plan for the class as a whole. Not all students are engaged although there are other adults in room(paraprofessionals) who can assist with this.,Developing,Developing,Developing,Classroom management and routines need to be consistent. Some students are held to the rules while others are not. Teacher needs to plan and discuss strategies for behavior management with the paraprofessionals.,Developing,Developing,Developing,"The teacher was assessing students individually when I observed. Not all the other students were engaged productively. Not all the paraprofessionals were not managing behaviors , nor were they instructing or working with the other students.",Developing+,The teacher is genuinely interested in improving his practice. He was able to identify that he needs help managing the paraprofessionals in his classroom so that his students can benefit.,Above Average,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1705,Cohort 27,50051,Q585,11,CTT/ICT,Special Education,11-Oct-16,Developing+,Developing,Developing,,Developing+,Developing+,Developing+,,Developing,Developing+,Developing,,Developing,,Average,2.333333,3,2.333333,2,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,621,Cohort 27,50052,K301,6,CTT/ICT,Special Education,14-Oct-16,Developing+,Developing+,Developing+,,Developing+,Effective,Effective,,Developing,Developing+,Developing+,,Effective,,Average,3,3.666667,2.666667,4,3.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1845,Cohort 27,50054,97K753,9,D75,Special Education,6-Oct-16,Developing,Developing,Developing,"Teacher's lesson plan was well written however she had difficulty executing it. The lesson was on daily living and incorporated getting and using a metro card. She did not make clear what a metro card was. She showed a video that explained where to get a metro card  but there was not enough of an introduction for the students to absorb what they were watching. There was no differentiated instruction. Paras were assigned to help some students. Due to difficulty with classroom management, teacher did not circulate much among students to check their work. ",Developing,Ineffective,Ineffective,"Though the teacher has established some classroom rules and procedures, she has a difficult time enforcing them. Students yell out, get out of their seats and are disruptive. Teacher is not disrespectful of students but they do not adhere to proper behavior. Teacher is not consistent in implementing the classroom rules.",Ineffective,Ineffective,Ineffective,Teacher attempted to assess student learning by questioning and handing out a worksheet. She was having difficulty due to poor classroom management. Many students were not attentive and did not complete the worksheet. There was no self assessments by students,Developing+,"Teacher was aware of, and discussed the difficulties she was having.   She is anxious to improve her teaching skills and was anxious for feedback.  She seems to be a hard worker and her biggest difficulty is not being able to control her class.  She correctly identifies the effectiveness of her lesson and wants to improve.",Below Average,2,1.333333,1,3,1.166667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1822,Cohort 27,50055,Q475,11,Self-contained,ESL,20-Oct-16,Developing+,Developing+,Developing+,Teacher is familiar with the important concepts in the discipline.  Outcomes represent moderately high expectations and rigor.  Some of the learning activities and materials are suitable to the instructional outcomes.,Effective,Effective,Effective,Classroom interactions support learning and hard work.  There is little loss of instructional time due to effective classroom routines and procedures.  Student behavior is generally appropriate.,Developing+,Developing+,Developing+,"Teacher attempts to engage all students in the discussion and to encourage them to respond to one another.  Assessment is used sporadically to support instruction, through some monitoring of progress of learning by teacher and/or students.",Developing+,Teacher has a generally accurate impression of a lesson’s effectiveness and the extent to which instructional outcomes were met.,Average,3,4,3,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,2072,Cohort 27,50056,09X241,10,N/A,Special Education,14-Oct-16,Effective,Effective,Effective,,Developing+,Developing+,Developing+,,Developing+,Effective,Effective,,Effective,,Above Average,4,3,3.666667,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1704,Cohort 27,50057,K211,8,CTT/ICT,Special Education,24-Oct-16,Developing+,Developing+,Developing+,,Developing+,Effective,Developing+,,Developing+,Effective,Developing+,,Developing+,,Average,3,3.333333,3.333333,3,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1704,Cohort 27,50058,K137,7,Self-contained,Special Education,17-Oct-16,Developing+,Developing+,Developing,,Developing+,Developing+,Effective,,Developing,Developing+,Developing,,Developing+,,Average,2.666667,3.333333,2.333333,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2000,Cohort 27,50059,X473,9,N/A,ESL,29-Sep-16,Developing,Developing,Developing,,Developing+,Developing,Developing,,Developing,Developing,Developing,,Developing,,Average,2,2.333333,2,2,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,949,Cohort 27,50060,97X754,10,D75,Special Education – D75,5-Oct-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2041,Cohort 27,50061,X045,7,Self-contained,Special Education,16-Sep-16,Developing,Ineffective,Ineffective,"I observed Raphael in a self contained class. I wasn't provided with a lesson plan nor was a class agenda displayed, therefore I was unaware of what subject I was observing.    The lesson was not planned nor did it have an agenda for students to follow, therefore the lesson was instructed without a do-now, lead lesson, activity, or closing. Students were told to sit in a circle and taught how to greet one another respectively and I was unsure of the learning objective for the entire period.    I encouraged Raphael to:    1. Plan his lessons in advance and design them around specific units.  2. Have a visual class agenda, class procedures, and a content decorated room visible.   3. Implement a do-now, guided lesson, activity, and closing,  4. Establish classroom rules and procedures.  5. Utilize the paraprofessional in the room to support and assist you.  6. Design projects and group activities to not only support learning but to minimize behavioral issues. ",Developing,Ineffective,Ineffective,"Classroom rules, procedures, and culture were not established and there were many behavioral issues.     I encouraged Raphael to:    1. Plan his lessons in advance and design them around specific units.  2. Have a visual class agenda, class procedures, and a content decorated room visible.   3. Implement a do-now, guided lesson, activity, and closing,  4. Establish classroom rules and procedures.  5. Utilize the paraprofessional in the room to support and assist you.  6. Design projects and group activities to not only support learning but to minimize behavioral issues.",Developing,Ineffective,Ineffective,Refer to question #12.,Developing,"I observed Raphael in a self contained class. I wasn't provided with a lesson plan nor was a class agenda displayed, therefore I was unaware of what subject I was observing.    The lesson was not planned nor did it have an agenda for students to follow, therefore the lesson was instructed without a do-now, lead lesson, activity, or closing.     I encouraged Raphael to:    1. Plan his lessons in advance and design them around specific units.  2. Have a visual class agenda, class procedures, and a content decorated room visible.   3. Implement a do-now, guided lesson, activity, and closing,  4. Establish classroom rules and procedures.  5. Utilize the paraprofessional in the room to support and assist you.  6. Design projects and group activities to not only support learning but to minimize behavioral issues.     I also emailed Raphael some resources he could utilize to help him design his lessons, which I plan to see next week for his second observation.",Below Average,1.333333,1.333333,1.333333,2,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1776,Cohort 27,50063,97K053,6,N/A,Math,13-Oct-16,Developing+,Developing+,Developing+,She has been working towards creating a structured learning and classroom environment.,Developing+,Developing+,Developing+,She is committed to developing the skills needed to become an excellent teacher.,Developing+,Developing+,Developing+,Students are becoming more engaged in instruction.,Effective,She is introspective and strives for consistent excellence.,Above Average,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
