Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
11,2/15/2017 16:53,2/15/2017 17:03,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487195592_58a4cdc84350b1.59987214,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,24.90.53.217,-73.98130035,40.77690125,United States,New York,NY,10023,1998,Cohort 27,50164,Q125,,,,,,,,7,,,,,,,,,,N/A,English,2/15/2017,Developing+,Developing,Developing+,,Effective,Effective,Effective,,Developing+,Developing+,Developing,,N/A,,Average,
12,2/19/2017 10:58,2/19/2017 11:04,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487519877_58a9c085637b41.60263605,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,66.65.35.41,-73.93689728,40.85039902,United States,New York,NY,10033,2003,Cohort 27,50930,X229,,,,,,,6,,,,,,,,,,,N/A,ESL,2/7/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Developing+,,Effective,,Above Average,
13,2/19/2017 11:06,2/19/2017 11:16,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487520392_58a9c288112ae2.28706085,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,66.65.35.41,-73.93689728,40.85039902,United States,New York,NY,10033,2003,Cohort 27,50187,X390,,,,,,,,,8,,,,,CTT/ICT,,,,,ESL,1/20/2017,Effective,Effective,Effective,,Developing+,Effective,Developing+,,Effective,Effective,Developing+,,Effective+,,Average,
14,2/19/2017 11:16,2/19/2017 11:20,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487520971_58a9c4cb37f710.39642744,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,66.65.35.41,-73.93689728,40.85039902,United States,New York,NY,10033,2003,Cohort 27,50328,X391,,,,,,,6,,,,,,,,,,,,ESL,1/9/2017,Effective,Effective,Effective,,Effective,Effective,Developing+,,Developing+,Effective,Developing+,,Effective+,,Average,
15,2/19/2017 11:22,2/19/2017 11:24,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487521240_58a9c5d84dca24.48539693,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,66.65.35.41,-73.93689728,40.85039902,United States,New York,NY,10033,2003,Cohort 27,50326,X331,,,,,,,,,8,,,,,,,,,,ESL,2/1/2017,Effective,Effective,Effective+,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective+,,Top 10%,
16,2/19/2017 11:28,2/19/2017 11:33,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487521491_58a9c6d3443d79.32337634,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,66.65.35.41,-73.93689728,40.85039902,United States,New York,NY,10033,2003,Cohort 27,50914,X225,,,,,,,,,8,,,,,,,,,N/A,ESL,2/14/2017,Effective,Effective,Effective,,Effective,Developing+,Effective,,Effective,Effective,Effective,,Effective,,Average,
17,2/19/2017 11:34,2/19/2017 11:38,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487522010_58a9c8da79a914.10805584,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,66.65.35.41,-73.93689728,40.85039902,United States,New York,NY,10033,2003,Cohort 27,50192,X524,,,,,,,,,,,,11,,,,,,N/A,ESL,2/10/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Developing+,Effective,Effective,,Effective+,,Above Average,
18,2/23/2017 13:15,2/23/2017 13:30,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487873699_58af26a3ac2d17.11269762,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,148.84.124.51,-73.90229797,40.86899948,United States,Bronx,NY,10468,2011,Cohort 27,50605,10X445,,,,,,,,,8,,,,,,,,,N/A,English,2/16/2017,Highly Effective,Effective+,Highly Effective,Ann is a very knowledgeable about the content.  She utilizes creative teaching methods to disperse information.,Highly Effective,Effective+,Highly Effective,Ann is very sensitive to the needs of her students.  She has established rapport in her classroom.  Students monitor their own behavior and engage respectfully.,Effective+,Highly Effective,Effective+,,Effective+,Ann is able to reflect on her practice and is open to making change to enhance learning.,Above Average,
19,3/1/2017 17:41,3/1/2017 17:48,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1488408098_58b74e229a58a6.97553344,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,24.90.53.217,-73.99330139,40.76050186,United States,New York,NY,10036,1998,Cohort 27,50329,X337,,,,,,,,7,,,,,,CTT/ICT,,,,,English,3/1/2017,Developing+,Developing,Developing,,Developing+,Effective,Effective,,Developing,Developing,Developing,,Effective,,Average,
21,3/3/2017 12:07,3/3/2017 12:10,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1488560860_58b9a2dcd9d337.69158971,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,74.89.62.183,-73.78759766,40.95130157,United States,New Rochelle,NY,10804,1843,Cohort 27,50661,X332,,,,,,,,,,,,11,12,,,,,N/A,Science,2/17/2017,Developing+,Developing,Developing,,Developing,Developing+,Developing,,Developing,Developing,Developing,,Developing+,,Average,
22,3/3/2017 12:11,3/3/2017 12:14,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1488561073_58b9a3b10fbd61.63008055,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,74.89.62.183,-73.78759766,40.95130157,United States,New Rochelle,NY,10804,1843,Cohort 27,50951,X437,,,,,,,,,,,10,11,12,,,,,N/A,Science,02/15/0017,Effective,Developing+,Developing+,,Developing+,Developing+,Developing,,Developing,Developing+,Developing,,Developing+,,Above Average,
23,3/3/2017 12:15,3/3/2017 12:19,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1488561308_58b9a49cc50e08.43261400,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,74.89.62.183,-73.78759766,40.95130157,United States,New Rochelle,NY,10804,1843,Cohort 27,50394,X288,,,,,,,,,,,10,11,12,,,,,N/A,Science,2/28/2017,Developing+,Developing+,Developing,,Developing+,Developing+,Developing,,Developing,Developing+,Developing,,Developing+,,Average,
24,3/3/2017 12:20,3/3/2017 12:23,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1488561606_58b9a5c6b60342.52595392,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,74.89.62.183,-73.78759766,40.95130157,United States,New Rochelle,NY,10804,1843,Cohort 27,50702,X455,,,,,,,,,,9,,,,,,,,N/A,Science,2/28/2017,Developing+,Developing,Developing,,Developing,Developing+,Developing,,Developing,Developing,Developing,,Developing+,,Average,
25,3/3/2017 12:24,3/3/2017 12:27,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1488561861_58b9a6c596ae70.13921590,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,74.89.62.183,-73.78759766,40.95130157,United States,New Rochelle,NY,10804,1843,Cohort 27,50780,X353,,,,,,,,,,,,11,12,CTT/ICT,,,,,Science,2/27/2017,Developing+,Developing,Developing,,Developing,Developing+,Developing,,Developing,Developing,Developing,,Developing+,,Average,
